Pin Number,Pin ID,Custom Name,Function,Direction,Latch,Open Drain,PIO Interrupt,Pull Up,Pull Down,Glitch/Debounce Filter,Slew Rate Control
1,PC20,,Available,In,,,,,,,
2,PC21,,Available,In,,,,,,,
3,PC22,,Available,In,,,,,,,
4,PD0,,Available,In,,,,,,,
5,PA8,,Available,In,,,,,,,
6,PA9,,Available,In,,,,,,,
7,PD3,,Available,In,,,,,,,
20,PD16,,Available,In,,,,,,,
22,PD17,,Available,In,,,,,,,
23,PD18,,Available,In,,,,,,,
24,PD19,,Available,In,,,,,,,
25,PA10,,Available,In,,,,,,,
26,PA11,,Available,In,,,,,,,
27,PA2,,Available,In,,,,,,,
28,PA3,,Available,In,,,,,,,
29,PA4,,FLEXCOM0_IO0,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
30,PA5,,FLEXCOM0_IO1,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
31,PA6,,Available,In,,,,,,,
32,PA7,,Available,In,,,,,,,
33,PA16,,Available,In,,,,,,,
34,PA17,,Available,In,,,,,,,
35,PA18,,Available,In,,,,,,,
36,PA19,,Available,In,,,,,,,
37,PA12,,Available,In,,,,,,,
38,PA13,,Available,In,,,,,,,
39,PA14,SWITCH_SCRUP,GPIO,In,n/a,No,Falling Edge,Yes,No,Glitch Filter,0x0
40,PA15,SWITCH_SCRDOWN,GPIO,In,n/a,No,Falling Edge,Yes,No,Glitch Filter,0x0
42,PD1,,Available,In,,,,,,,
43,PD2,,Available,In,,,,,,,
44,PD12,,Available,In,,,,,,,
45,PD13,,Available,In,,,,,,,
46,PA20,,Available,In,,,,,,,
63,PA21,,SLCDC_COM0,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
64,PA22,,SLCDC_COM1,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
65,PA23,,SLCDC_COM2,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
66,PA24,,SLCDC_COM3,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
67,PA25,,SLCDC_COM4,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
68,PA26,,SLCDC_COM5,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
69,PA27,,SLCDC_COM6,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
70,PA28,,SLCDC_COM7,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
71,PA29,,Available,In,,,,,,,
72,PA30,,Available,In,,,,,,,
74,PB1,,Available,In,,,,,,,
75,PB0,,Available,In,,,,,,,
76,PB2,,Available,In,,,,,,,
77,PA31,,Available,In,,,,,,,
81,PB3,,SLCDC_SEG6,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
82,PB4,,SLCDC_SEG7,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
